,hero,weight
5249,CHARCOAL/CHARLIE BUR,750
2110,BUCKY/BUCKY BARNES,742
1102,SHANG-CHI,741
3634,STACY GWEN,741
2620,JOCASTA,739
2656,CH'OD,737
3284,SHANNA/SHANNA O'HARA,734
1728,TURBO II (A)/MICHIKO,733
6133,X-MAN/NATHAN GREY,733
3598,TALISMAN II/ELIZABET,732
298,RAZA LONGKNIFE,727
4727,HYPERION,721
1067,FERAL/MARIA CALLASAN,720
980,DEATH,720
2350,BETA RAY BILL,717
4304,MAM'SELLE HEPZIBAH,709
4409,HOBGOBLIN V/JASON PH,707
6177,FIREBIRD/BONITA JUAR,702
3913,DESTINY II/IRENE ADL,700
5652,DR. SPECTRUM/JOSEPH,697
6312,CUSHING KATE,692
1025,BRIDGE GEORGE WASHI,687
6090,TALBOT GLENN,686
4991,ROBERTSON RANDY,683
1643,VANGUARD/NICOLAI KRY,679
316,MOLECULE MAN/OWEN RE,679
1395,WHIZZER II/STANLEY S,678
5401,CITIZEN V III/DALLAS,678
2750,SITWELL JASPER,677
2945,ROM SPACEKNIGHT,676
435,TRIATHLON/DELROY GAR,674
1610,MANTIS/? BRANDT,669
2084,SWORDSMAN/JACQUES DU,669
437,ROSENTHAL BERNIE,668
4944,ELECTRO/MAX DILLON,667
2988,THANOS DOPPELGANGER,664
2166,LEADER/SAM STERNS,662
6195,PHOENIX II,659
2336,DIAMOND LIL/LILLIAN,646
4295,FIRELORD/PYREUS KRIL,643
4391,PUPPET MASTER/PHILLI,641
5335,CALLISTO,640
5207,MANDARIN,634
2131,RHINO,632
1980,VASHTI,627
4646,ARBOGAST BAMBI,623
6333,COBRA/KLAUS VORHEES,621
769,PERSUASION/KARA KILL,616
253,BEYONDER,615
5646,POWER DR. JIM,610
2695,LUBENSKI NATE,608
130,SPIRAL,608
2543,FORGOTTEN ONE/GILGAM,608
2465,DEATHBIRD [SHI'AR],604
949,M,602
3655,GLADIATOR II,602
3283,JONES MARLO CHANDLE,601
4676,PALADIN/PAUL DENNIS,593
4956,MERCADO JOY,592
3267,WISDOM PETER,592
2154,SUPREME INTELLIGENCE,592
5129,WINGFOOT WYATT,588
6070,TRAPSTER/PETER PETRU,576
3562,ZEUS,571
2218,STANKOWICZ FABIAN,569
2325,EXECUTIONER II/SKURG,568
4230,MR. SINISTER/NATHAN,567
2775,CARGIL/JOANNA CARGIL,564
4258,OSBORN NORMIE,560
2664,VULTURE/ADRIAN TOOME,560
4617,QUARTERMAIN CLAY,558
3892,HODGE CAMERON,556
4047,ANACONDA/BLANCHE SIT,556
3203,VIPER II,555
987,STARSHINE II/BRANDY,550
6132,STRYFE,548
4958,POWER MARGARET,547
6188,SOUTHERN CANDY,546
3113,KRISTOFF/KRISTOFF VE,543
4833,BLACK MAMBA/TANYA SE,542
2947,DEADPOOL/JACK/WADE W,542
3810,WIDGET,540
4701,ARCANNA/ARCANNA JONE,540
167,HUNTER STEVIE,538
1692,FRIGGA,538
3740,STACY JILL,537
6256,BALLANTINE KAYLA,537
4994,SELENE,536
6017,JOSEPH,534
3795,GATEWAY,531
2405,CONSTRICTOR/FRANK PA,530
351,WHIZZER/ROBERT L. FR,529
2255,COLLECTOR/TANELEER T,525
4032,MASTER MOLD II,525
2055,VOLCANA/MARSHA ROSEN,524
1716,TORPEDO III/BROCK JO,520
3211,MASTERMIND/JASON WYN,517
3126,DEMOLITION MAN/DENNI,515
3230,SCANNER II,514
2943,THINKER,514
2442,KELLY SEN. ROBERT E,511
1635,ASP II/CLEO,510
2302,ATTUMA,510
3002,RINTRAH,509
3288,AUSTIN SUSAN,508
2900,LADY LARK/LINDA LEWI,507
4801,MR. FANTASTIC DOPPEL,505
5268,ROBERTSON MARTHA,505
5041,STUART DR. ALISTAIR,501
4435,CR'REEE,498
1518,HYDROMAN/MORRIE BENC,498
5400,LORELEI II/MELODI [A,494
5700,CORTEZ FABIAN,493
5795,ULIK,493
2609,BOOMERANG/FRED MYERS,490
2099,DORMAMMU,488
1254,MASTERSON KEVIN,488
2082,TIGER SHARK/TODD ARL,488
4743,MAD DOG/COLONEL BUZZ,486
3613,PRINCESS PYTHON/ZELD,483
3917,SAURON/DR. KARL LYKO,479
2414,TOMBSTONE/LONNIE THO,479
2556,WEREWOLF BY NIGHT/JA,477
394,MISTER HYDE/CALVIN Z,476
2075,GREY DR. JOHN,474
284,BLACK GOLIATH/DR. WI,474
6164,SABRA/RUTH BAT-SERAP,473
6093,KISMET/J'RIDIA STARD,472
3394,VENOM/EDDIE BROCK,469
5870,COPYCAT/VANESSA,466
5871,HAMMERHEAD,464
2125,BANNON LANCE,462
4133,FRENCHIE/JEAN-PAUL D,462
226,KARKAS [DEVIANT],460
1590,POWER PRINCESS/ZARDA,459
342,BOVA,459
5108,IRON MAN DOPPELGANGE,459
4023,MADAME MASQUE/GIULIE,459
3226,KRO [DEVIANT],458
5712,CHORD ANDREW,454
4227,LEGION II/DAVID HALL,454
1348,DRACULA/VLAD TEPES,453
4557,MYSTERIO/QUENTIN BEC,452
1710,ARRANGER/,451
5936,BARON STRUCKER/WOLFG,450
5536,SWORDSMAN III/PHILIP,450
6161,PATHWAY/LAURA DEAN,449
1795,RICHARDS NATHANIEL,448
1207,LE FEY MORGAN,444
6039,TORO/TOM RAYMOND,443
520,REJECT/RAN-SAK [DEVI,441
724,BLAQUESMITH,440
802,CORBEAU DR. PETER,436
5790,TARR BLACK JACK,436
5361,RONAN THE ACCUSER [K,436
5475,GHAUR [DEVIANT],434
2163,SILVER SABLE,433
5289,WINDSHEAR/COLIN ASHW,433
815,CRIMSON COWL II/,433
687,STONE LT. MARCUS,432
887,RED GUARDIAN III/DR.,432
5693,TESSA,428
5087,HAMMER JUSTIN,427
1155,SCHEMER/RICHARD FISK,424
5668,KATZENBERG NICK,422
4491,GREY ELAINE,421
6296,EBONY,420
2919,ZARRKO ARTHUR,420
5749,DARK BEAST/HENRY MCC,420
3057,WHIPLASH/MARK SCARLO,419
3952,WHIRLWIND/DAVID CANN,418
2108,S'YM,416
296,ARCLIGHT/PHILLIPA SO,415
391,BLOODSTORM | MUTANT,415
2289,KAINE,413
3154,CHENEY LILA,412
1095,DEATHLOK III/MICHAEL,410
4403,NEBULA,409
4070,VOGHT AMELIA,408
916,ROSS EVERETT KENNET,408
3528,BEDLAM/JESSE AARONSO,407
58,WU LEIKO,406
2938,CHAMELEON/DMITRI SME,405
2219,LUMPKIN WILLIAM WIL,405
2229,URSA MAJOR/MIKHAIL U,404
3166,SPEEDBALL II/DARRION,403
5939,MENTOR/ALARS [ETERNA,402
5552,RED GHOST/IVAN KRAGO,401
5461,ICE-MAN | MUTANT X-V,401
930,BRUTE | MUTANT X-VER,401
2786,MAN-THING/THEODORE T,401
6293,GRANDMASTER/EN DWI G,400
2555,STRANGER,399
2514,WOLFE SARA,396
3846,MARRINA/MARRINA SMAL,396
1594,RESTON CLIVE,396
62,PEATOR,395
250,ZERO,395
3425,CRIMSON DYNAMO V/DIM,393
4323,HILDY [ASGARDIAN],393
4489,WITCHFIRE,387
1111,IGOR,386
5137,MIKHLO,386
6137,CENTURY,386
1754,COUNT NEFARIA LUCHI,386
2148,BOX/ROGER BOCHS,385
1951,DESTROYER III,384
4938,LIVING TRIBUNAL,383
4610,SUPER SKRULL/KL'RT,383
2432,MERRYWEATHER IRENE,382
528,PIERCE DONALD,382
1711,STRUCKER ANDREAS,382
2016,VIBRAXAS/N'KANO,380
3099,MASQUE,379
4715,PIERCE ALEXANDER GO,378
1441,STEELE MARCY MASTER,378
4393,DEVIL-SLAYER/ERIC SI,377
149,SMITH SIR DENIS NAY,377
1767,SHIP,377
1559,ORACLE/LADY SIBYL,377
6265,MANIKIN/DR. WHITMAN,376
1444,LIBRA/GUSTAV BRANDT,374
133,SHROUD/MAXIMILLIAN Q,374
5587,DORMA [ATLANTEAN],373
4300,JACKAL/MILES WARREN,373
6283,BLACK TOM CASSIDY,372
3037,RINGMASTER/MAYNARD T,371
3133,MASTER/ESHU,371
5576,CAPTAIN MARVEL III/G,371
2852,BRIGHTWIND,371
5419,GYPSY MOTH,371
6408,SPITFIRE/LADY JACQUE,368
510,HILDEGARDE [ASGARDIA,368
5309,CABE BETHANY,367
3951,ELLIS KEN,367
2501,NIGHTHAWK/KYLE RICHM,365
416,MAN-BEAST,365
5349,HINDSIGHT LAD/CARLTO,364
1683,ABOMINATION/EMIL BLO,364
4151,EXODUS/BENNET DUPARI,363
4330,GOBLYN,362
6078,MAN-KILLER/KATRINA L,362
1849,BLOODAXE/JACKIE LUKU,361
3471,SIKORSKY,361
2898,ANNIHILUS,361
915,GRIM REAPER/ERIC WIL,360
5565,ARES [GREEK GOD],357
5560,JONES CHARLOTTE,356
2044,ANALYZER,355
3016,RUIZ RIGGER,355
5079,MODOK/GEORGE TARLETO,355
4882,CRIMSON COMMANDO/FRA,355
4602,ALRAUNE MARLENE,354
3115,STRUCKER ANDREA,354
5899,WATSON KRISTY,354
1425,COLOSSUS II DOPPELGA,353
2574,BATROC/GEORGES BATRO,352
845,CROSSBONES/BROCK BIN,352
4579,LYNNE MONICA,352
5621,WHITE TIGER II/,351
333,RADIUS/JARED CORBO,351
2227,PLANTMAN/SAM SMITHER,351
1219,WOLVERINE DOPPELGANG,350
4445,GUARDIAN V/JAMES MAC,350
2096,FRIEDLANDER SHARON,348
2160,TANAKA KENJIRO,348
1723,MAGDALENE/MARISSA DA,348
4561,VERTIGO II,347
3819,FOREARM,347
5715,ARAGORN,346
2357,ARABIAN KNIGHT/ABDUL,346
1644,NIGHTMARE/EDVARD HAB,346
290,SILVERMANE/SILVIO MA,345
5106,HOBGOBLIN II/RODERIC,344
3053,IRON MAN V/TEEN TONY,344
2239,VAPOR,343
432,PLUTO [OLYMPIAN],342
4469,BATTLESTAR/LEMAR HOS,342
4415,THUNDERBIRD III/NEAL,341
5724,FAIRMONT HANNAH,341
2489,ROMA,339
5040,MELTER/BRUNO HORGAN,339
2244,FLEX/ADRIAN CORBO,339
4532,KINCAID DR. KEITH,339
2390,ARISHEM [CELESTIAL],338
2706,PUMA/THOMAS FIREHEAR,338
1144,DAREDEVIL DOPPELGANG,337
6053,GAUNTLET,337
2853,COTTONMOUTH II,336
5121,RATTLER,335
6310,LORD CHAOS,334
2225,PSI-LORD/FRANKLIN BE,334
995,STACY ARTHUR,334
3802,CERISE II [SHI'AR],334
3023,GOLDEN ARCHER II/WYA,332
270,FIZ [SKRULL],331
5378,MURMUR II/ARLETTE TR,331
1047,PETROVITCH IVAN,330
3441,THUNDRA,330
4485,REYES DR. CECELIA,330
953,VANISHER,330
5135,MICROCHIP/LINUS LIEB,329
5030,CANTOR VERA,328
4747,DYNA-MITE/ROGER AUBR,326
1038,RAM SIR,326
1970,ZIRAN,326
4167,ISAAC,326
18,GATOR LORD,326
6096,PROWLER/HOBIE BROWN,325
3534,THOR II/ROGER RED NO,325
5324,SAXON STARR,324
5323,SIKORSKY RAYMOND,324
1727,BLITZKRIEG/,323
935,GIDEON,322
4675,RASSITANO MAD DOG,321
4367,LEWIS SHIRLEY WASHI,321
2899,EGO,321
3223,SILVER SAMURAI/KENYU,320
1042,LADY DEATHSTRIKE/YUR,320
728,ONSLAUGHT II,320
5146,DRAGONFLY/VERONICA D,319
59,TEXAS TWISTER/DREW D,317
3181,CORSI TOM,317
2640,TANA NILE,315
3705,SHA SHAN,314
3250,MAGGOTT/JAPHETH,312
5655,TYGER LORD,312
24,WHIZZER III/JAMES SA,312
302,QUICKSAND,312
3878,MUGGINS MAMIE,311
5598,SHADOW KING/AMAHL FA,311
4971,ULYSSES II,311
2993,SENTINELS,310
4554,KURSE/ALGRIM [ASGARD,310
1811,AJAK/TECUMOTZIN [ETE,308
4989,IRONCLAD,307
700,CAPTAIN AMERICA DOPP,307
224,DIABLO/ESTEBAN DE AB,307
4074,LANG CASSANDRA CASS,307
5676,DAMIAN MARGO,306
4632,KRAVEN THE HUNTER/SE,305
1552,BROTHER VOODOO/DANIE,305
2010,MORBIUS/DR. MICHAEL,304
3712,SHAMROCK/MOLLY FITZG,304
855,FAMINE/AUTUMN ROLFSO,304
5028,MASTER ORDER,304
595,WAR/ABRAHAM LINCOLN,304
6330,EMPLATE/MARIUS ST. C,303
1756,THING DOPPELGANGER I,303
4955,SAPRISTI JERRY,302
3506,ARON [WATCHER],302
1516,TOWER BLAKE,300
2028,BOLT II/CHRIS BRADLE,300
4695,SASQUATCH DOPPELGANG,299
1965,SHAPE,299
3461,SERGEI,297
19,EPOCH,297
5967,TRAINER DR. SEWARD,296
2584,BARON MORDO/KARL MOR,296
4080,ANDROMEDA/ANDROMEDA,296
5431,MARRS(-PAYNE) PHOEB,295
1461,SCALPHUNTER,295
5333,KAFKA DR. ASHLEY,294
5528,SUPER SABRE/MARTIN F,293
3044,STACY CAPT. GEORGE,293
941,ONE ABOVE ALL [CELES,293
4168,SPHINX,292
1569,SETH II,291
6005,CYCLOPS DOPPELGANGER,291
2526,TAROT/MARIE-ANGE COL,291
1023,WHITE TIGER/HECTOR A,291
3128,CLOWN/CRAFTY ELIOT F,291
3175,HUNTARA/MARY ELIZABE,291
3680,BALDWIN MADELYNE MA,290
6061,RANSOME JENNIFER AM,289
3752,DEATHCRY [SHI'AR],289
1762,SURTUR,289
3508,GAMBONNO LUIGI,287
5463,GAMBONNO ERNESTO,287
843,N'ASTIRH,287
4186,ROCK/SAMUEL JOHN ROC,286
4585,HOGARTH JERYN,286
1450,WHITMAN DEBRA,285
3841,ZURAS,285
3941,SHOCKER/HERMAN SCHUL,285
2805,CANNONBALL/JACK PULV,285
498,ROSE IV/JACOB JAKE C,285
2162,CLARKE GENERAL JERE,285
5988,VECTOR,284
5855,ROULETTE II/JENNY ST,282
5459,SIDEWINDER/SETH VOEL,282
761,NORRISS JACK,282
1658,THOMAS COMMANDER DA,282
3459,MCLAREN MEGAN,281
2242,YELLOWJACKET II/RITA,281
4208,CAPTAIN HAWK,280
4037,SZARDOS MARGALI,280
5277,DRAGON MAN,280
5110,RED GUARDIAN V,280
2527,LLYRA/LLYRA MORRIS,279
280,DIAMOND BOB,279
991,SPEEDBALL DOPPELGANG,279
710,IMPOSSIBLE MAN,279
5069,PUFF ADDER,279
5828,SUNDER,278
4711,ANCIENT ONE,277
3585,DEVLOR,276
5927,CARPENTER RACHEL,276
3922,SCARFE RAFAEL,276
174,ATALANTA,275
2751,ARCADE/,274
5380,VERMIN LADY,273
375,RADIOACTIVE MAN/DR.,273
5889,GLENN HEATHER,272
108,TOM THUMB/THOMAS THO,272
3537,WATER WIZARD/PETE,271
4001,MANBOT/BERNIE LACHEN,270
2731,PIPELINE/CORMICK GRI,270
5541,CHEKOV ARTHUR ANTON,269
4913,HULK DOPPELGANGER II,269
186,URSULA LADY,269
6201,TAI II,269
3289,AMPHIBIUS,269
5585,NIGHTSHADE/TILDA,268
2976,HALLER GABRIELLE,268
1384,DANSEN MACABRE,267
2144,X-RAY,267
3749,YASHIDA MARIKO,267
2337,GRAVITON/FRANK HALL,266
2869,NEVILLE KATE,266
6410,ROBERTSON AMANDA,266
5540,REESE MURRAY,265
1422,EMPATH/MANUEL ALFONS,265
171,FORRESTER CAPT. ALE,264
5807,ZURI,263
6050,SLEEPWALKER,262
531,MOREAU PHILLIP,262
1307,SUMMERS SCOTT III |,262
1208,YELLOWJACKET III/HEN,262
2198,BEREET,262
533,HARDRIVE,261
4388,FOREIGNER/RAFAEL BAS,261
408,UNUS THE UNTOUCHABLE,261
2222,DEWOLFF JEAN,260
4806,DRAKE FRANKLIN,260
6087,PORCUPINE/ALEX GENTR,260
3167,WARSTAR,259
5608,WOLFSBANE DOPPELGANG,258
5491,WILDSIDE,258
6243,TOPAZ,258
5601,NELSON DEBBIE HARRI,258
1538,MACKENZIE AL,257
6387,TAYLOR LEILA,257
2522,BOMBSHELL/,257
5580,HERMOD [ASGARDIAN],257
6340,BLAKE BECKY,256
144,BUSHMASTER II/QUINCY,256
3314,HARPOON,256
4791,KORVAC MICHAEL,255
5300,HECTOR II,255
1159,MCCABE LINDSAY,255
3473,MAELSTROM/MALCOLM ST,254
2297,ORKA,253
5683,LEE STAN,253
26,OMEGA RED/ARKADY ROS,252
381,IONELLO JASON,252
369,WOLVERINE SKRULL,252
5786,BONEBREAKER/,251
3544,MADAME MASQUE III,251
3731,MASON LOUISE,250
392,RED WOLF III/WILL TA,249
3936,KYLUN/COLIN MCKAY,248
2570,RAVONNA LEXUS RENSLA,248
308,GAMMENON [CELESTIAL],248
5723,JACKSON STEVE,248
384,VOSTOK,248
5453,SCORPION/MACDONALD G,248
2004,EON,247
2298,MEANY,246
6418,EENY,246
434,DEFENSOR,246
5173,ALEXANDER CARRIE,246
2604,BLACKWING/JOSEPH MAN,245
1470,FREEMAN DUANE JEROM,244
3332,FER DE LANCE/TERESA,244
740,STARBOLT,244
3035,STRIDER,243
1649,OVERMIND/GROM,243
